match_id,date,home_team,away_team,home_goals,away_goals,status,round
1210625,2024-07-19T19:00:00-06:00,AD Guanacasteca,San Carlos,0,3,FT,Apertura - 1
1210627,2024-07-19T20:00:00-06:00,Puntarenas FC,Municipal Liberia,0,0,FT,Apertura - 1
1210624,2024-07-20T17:00:00-06:00,CS Cartagines,Santa Ana,4,0,FT,Apertura - 1
1210628,2024-07-20T18:00:00-06:00,Sporting San Jose,Deportivo Saprissa,3,1,FT,Apertura - 1
1210626,2024-07-20T20:00:00-06:00,Perez Zeledon,CS Herediano,0,0,FT,Apertura - 1
1210623,2024-07-21T18:00:00-06:00,LD Alajuelense,Santos DE Guapiles,2,1,FT,Apertura - 1
1210629,2024-07-23T17:00:00-06:00,Santa Ana,Sporting San Jose,0,2,FT,Apertura - 2
1210630,2024-07-23T20:00:00-06:00,CS Herediano,Puntarenas FC,2,0,FT,Apertura - 2
1210632,2024-07-24T18:00:00-06:00,San Carlos,CS Cartagines,0,0,FT,Apertura - 2
1210631,2024-07-24T18:00:00-06:00,Municipal Liberia,LD Alajuelense,1,2,FT,Apertura - 2
1210633,2024-07-24T20:30:00-06:00,Deportivo Saprissa,AD Guanacasteca,3,1,FT,Apertura - 2
1210634,2024-07-25T18:00:00-06:00,Santos DE Guapiles,Perez Zeledon,3,3,FT,Apertura - 2
1210637,2024-07-27T19:00:00-06:00,AD Guanacasteca,CS Herediano,2,1,FT,Apertura - 3
1210640,2024-07-27T20:00:00-06:00,San Carlos,Municipal Liberia,1,2,FT,Apertura - 3
1210636,2024-07-28T11:00:00-06:00,CS Cartagines,Santos DE Guapiles,2,1,FT,Apertura - 3
1210638,2024-07-28T15:00:00-06:00,Puntarenas FC,Deportivo Saprissa,2,3,FT,Apertura - 3
1210635,2024-07-28T18:00:00-06:00,LD Alajuelense,Santa Ana,1,1,FT,Apertura - 3
1210639,2024-07-29T19:00:00-06:00,Perez Zeledon,Sporting San Jose,0,2,FT,Apertura - 3
1210646,2024-08-02T19:00:00-06:00,Santos DE Guapiles,Puntarenas FC,0,0,FT,Apertura - 4
1210643,2024-08-03T15:00:00-06:00,Sporting San Jose,AD Guanacasteca,2,2,FT,Apertura - 4
1210645,2024-08-03T17:00:00-06:00,Deportivo Saprissa,Municipal Liberia,2,2,FT,Apertura - 4
1210644,2024-08-03T20:00:00-06:00,Santa Ana,CS Herediano,1,1,FT,Apertura - 4
1210641,2024-08-04T11:00:00-06:00,CS Cartagines,LD Alajuelense,0,1,FT,Apertura - 4
1210642,2024-08-04T16:00:00-06:00,Perez Zeledon,San Carlos,0,0,FT,Apertura - 4
1210650,2024-08-09T20:00:00-06:00,Municipal Liberia,Santos DE Guapiles,4,0,FT,Apertura - 5
1210648,2024-08-10T17:00:00-06:00,AD Guanacasteca,CS Cartagines,1,3,FT,Apertura - 5
1210652,2024-08-10T18:00:00-06:00,San Carlos,Santa Ana,5,1,FT,Apertura - 5
1210647,2024-08-10T20:00:00-06:00,LD Alajuelense,Perez Zeledon,2,1,FT,Apertura - 5
1210651,2024-08-11T16:00:00-06:00,Puntarenas FC,Sporting San Jose,1,2,FT,Apertura - 5
1210649,2024-08-11T18:00:00-06:00,CS Herediano,Deportivo Saprissa,2,0,FT,Apertura - 5
1210658,2024-08-16T20:00:00-06:00,Santa Ana,Deportivo Saprissa,0,3,FT,Apertura - 6
1210654,2024-08-17T18:00:00-06:00,Santos DE Guapiles,San Carlos,0,4,FT,Apertura - 6
1210653,2024-08-18T11:00:00-06:00,CS Cartagines,CS Herediano,3,1,FT,Apertura - 6
1210655,2024-08-18T16:00:00-06:00,Perez Zeledon,Puntarenas FC,1,0,FT,Apertura - 6
1210657,2024-08-18T18:00:00-06:00,Sporting San Jose,Municipal Liberia,1,0,FT,Apertura - 6
1210663,2024-08-24T19:00:00-06:00,San Carlos,LD Alajuelense,0,0,FT,Apertura - 7
1210664,2024-08-24T20:00:00-06:00,Deportivo Saprissa,CS Cartagines,1,0,FT,Apertura - 7
1210661,2024-08-25T15:00:00-06:00,Municipal Liberia,Perez Zeledon,1,0,FT,Apertura - 7
1210662,2024-08-25T15:00:00-06:00,Puntarenas FC,Santa Ana,1,2,FT,Apertura - 7
1210660,2024-08-25T18:00:00-06:00,CS Herediano,Sporting San Jose,2,0,FT,Apertura - 7
1210670,2024-08-30T19:00:00-06:00,Sporting San Jose,San Carlos,2,3,FT,Apertura - 8
1210669,2024-08-30T20:00:00-06:00,Santa Ana,Municipal Liberia,2,1,FT,Apertura - 8
1210666,2024-08-31T18:00:00-06:00,CS Cartagines,Puntarenas FC,1,0,FT,Apertura - 8
1210668,2024-08-31T20:00:00-06:00,Santos DE Guapiles,CS Herediano,3,4,FT,Apertura - 8
1210665,2024-09-01T16:00:00-06:00,LD Alajuelense,Deportivo Saprissa,1,1,FT,Apertura - 8
